iter	Passed	Remaining
0	4	3842
1	7	2895
2	9	2557
3	12	2378
4	14	2279
5	17	2329
6	22	2491
7	24	2424
8	27	2367
9	29	2312
10	31	2277
11	36	2384
12	39	2359
13	41	2328
14	44	2298
15	46	2266
16	49	2258
17	53	2318
18	56	2323
19	59	2312
20	62	2288
21	64	2264
22	68	2306
23	71	2296
24	74	2287
25	76	2268
26	79	2250
27	82	2263
28	85	2269
29	89	2285
30	93	2306
31	96	2289
32	102	2356
33	105	2355
34	108	2349
35	111	2343
36	115	2362
37	119	2386
38	122	2376
39	125	2361
40	127	2350
41	131	2360
42	134	2350
43	137	2342
44	140	2348
45	144	2359
46	150	2403
47	154	2406
48	157	2392
49	159	2379
50	163	2379
51	167	2392
52	172	2411
53	174	2399
54	178	2405
55	182	2409
56	184	2395
57	187	2381
58	189	2368
59	192	2363
60	196	2369
61	199	2357
62	201	2344
63	204	2333
64	206	2322
65	212	2346
66	215	2342
67	218	2331
68	220	2318
69	222	2306
70	226	2314
71	229	2303
72	231	2294
73	234	2283
74	236	2273
75	239	2263
76	244	2276
77	246	2266
78	248	2256
79	251	2246
80	253	2235
81	256	2231
82	261	2240
83	263	2233
84	266	2224
85	268	2214
86	271	2206
87	276	2221
88	279	2214
89	281	2205
90	283	2196
91	286	2187
92	290	2193
93	293	2191
94	296	2183
95	298	2174
96	301	2166
97	304	2163
98	309	2173
99	312	2169
100	314	2161
101	316	2153
102	319	2147
103	323	2150
104	326	2143
105	328	2136
106	331	2129
107	333	2121
108	337	2126
109	341	2125
110	343	2118
111	346	2111
112	348	2103
113	350	2096
114	355	2103
115	358	2096
116	360	2090
117	363	2083
118	365	2076
119	368	2075
120	372	2076
121	375	2069
122	377	2063
123	380	2057
124	382	2051
125	387	2058
126	390	2052
127	392	2045
128	395	2039
129	397	2032
130	401	2036
131	405	2035
132	407	2029
133	410	2022
134	412	2016
135	415	2011
136	420	2020
137	423	2018
138	426	2015
139	429	2011
140	434	2016
141	437	2013
142	440	2008
143	442	2002
144	445	1996
145	448	1995
146	451	1991
147	454	1987
148	457	1981
149	459	1975
150	462	1970
151	466	1974
152	469	1969
153	471	1963
154	474	1958
155	476	1952
156	480	1952
157	483	1951
158	486	1945
159	488	1940
160	491	1934
161	493	1929
162	499	1934
163	501	1929
164	503	1923
165	506	1918
166	508	1913
167	512	1913
168	516	1914
169	519	1910
170	522	1904
171	524	1899
172	527	1897
173	531	1895
174	533	1890
175	536	1885
176	538	1880
177	540	1875
178	545	1877
179	548	1874
180	551	1869
181	553	1864
182	555	1858
183	558	1855
184	563	1856
185	565	1851
186	567	1846
187	570	1841
188	572	1836
189	576	1836
190	580	1834
191	582	1829
192	584	1824
193	587	1819
194	589	1814
195	594	1816
196	596	1811
197	598	1805
198	601	1801
199	603	1796
200	606	1792
201	611	1796
202	614	1791
203	616	1786
204	618	1781
205	621	1776
206	625	1777
207	629	1775
208	631	1771
209	634	1766
210	636	1761
211	639	1759
212	642	1756
213	645	1751
214	647	1746
215	649	1742
216	652	1737
217	656	1736
218	659	1733
219	661	1729
220	663	1724
221	666	1719
222	668	1715
223	673	1716
224	676	1712
225	678	1707
226	680	1703
227	683	1699
228	686	1695
229	690	1695
230	692	1690
231	694	1686
232	697	1681
233	699	1677
234	703	1676
235	707	1675
236	709	1671
